id_municipio,nome_municipio,sigla_uf,nome_regiao,n_alunos_2024,presenca_2024,taxa_presentes_2024,taxa_alf_2024,risco_previsto_2024,idhm,ivs,cluster,alerta_participacao
2607604,Ilha de Itamaracá,PE,Nordeste,227.0,0.903,0.507,0.458,0.419,0.653,0.49,0,False
2602902,Cabo de Santo Agostinho,PE,Nordeste,2156.0,0.917,0.508,0.465,0.467,0.686,0.396,1,False
3520202,Igaratá,SP,Sudeste,144.0,0.903,0.508,0.458,0.414,0.711,0.245,1,False
3128600,Guarda-Mor,MG,Sudeste,79.0,0.823,0.508,0.418,0.349,0.69,0.243,1,False
2616407,Vitória de Santo Antão,PE,Nordeste,1059.0,0.948,0.508,0.482,0.435,0.64,0.401,0,False
1702109,Araguaína,TO,Norte,2260.0,0.873,0.508,0.443,0.643,0.752,0.243,1,False
1505007,Nova Timboteua,PA,Norte,149.0,0.805,0.508,0.409,0.548,0.609,0.447,0,False
2907558,Caturama,BA,Nordeste,67.0,0.881,0.508,0.448,0.625,0.571,0.416,0,False
1506203,Salinópolis,PA,Norte,616.0,0.852,0.509,0.433,0.557,0.647,0.389,0,False
2609808,Orocó,PE,Nordeste,116.0,1.0,0.509,0.509,0.343,0.61,0.369,0,False
1300706,Boca do Acre,AM,Norte,419.0,0.831,0.509,0.422,0.576,0.588,0.6,0,False
